Old URL: ~/Default.aspx, New URL: ~/Default, File Found: False
Old URL: ~/Pages/Home.aspx, New URL: ~/Pages/Home, File Found: False
Old URL: ~/Pages/Membership.aspx, New URL: ~/Pages/Membership, File Found: False
Old URL: ~/Pages/Member.aspx, New URL: ~/Pages/Member, File Found: False
Old URL: ~/Pages/vwaspnetUsers.aspx, New URL: ~/Pages/vwaspnetUsers, File Found: False
Old URL: ~/Pages/Userdetailsegment.aspx, New URL: ~/Pages/Userdetailsegment, File Found: False
Old URL: ~/Pages/Transaltsystem.aspx, New URL: ~/Pages/Transaltsystem, File Found: False
Old URL: ~/Pages/webuserlog.aspx, New URL: ~/Pages/webuserlog, File Found: False
Old URL: ~/Pages/OtherTools.aspx, New URL: ~/aspxpages/OtherTools.aspx, File Found: True
Old URL: ~/Pages/vwaspnetUsersInRoles.aspx, New URL: ~/Pages/vwaspnetUsersInRoles, File Found: False
Old URL: ~/Pages/vwaspnetRoles.aspx, New URL: ~/Pages/vwaspnetRoles, File Found: False
Old URL: ~/Pages/vwaspnetApplications.aspx, New URL: ~/Pages/vwaspnetApplications, File Found: False
Old URL: ~/Pages/usertypjoin.aspx, New URL: ~/Pages/usertypjoin, File Found: False
Old URL: ~/Pages/vwaspnetMembershipUsers.aspx, New URL: ~/Pages/vwaspnetMembershipUsers, File Found: False
Old URL: ~/Pages/QUserdetailsegmentbrnch.aspx, New URL: ~/Pages/QUserdetailsegmentbrnch, File Found: False
Old URL: ~/Pages/AspNetRoles.aspx, New URL: ~/aspxpages/AspNetRoles.aspx, File Found: True
Old URL: ~/Pages/AspNetUserClaims.aspx, New URL: ~/Pages/AspNetUserClaims, File Found: False
Old URL: ~/Pages/AspNetUserLogins.aspx, New URL: ~/Pages/AspNetUserLogins, File Found: False
Old URL: ~/Pages/AspNetUserRoles.aspx, New URL: ~/Pages/AspNetUserRoles, File Found: False
Old URL: ~/Pages/AspNetUsers.aspx, New URL: ~/aspxpages/AspNetUsers.aspx, File Found: True
Old URL: ~/Pages/UsersTypes.aspx, New URL: ~/Pages/UsersTypes, File Found: False
Old URL: ~/Pages/UsersTypesroles.aspx, New URL: ~/Pages/UsersTypesroles, File Found: False
Old URL: ~/Pages/Member_1.aspx, New URL: ~/Pages/Member_1, File Found: False
Old URL: ~/Pages/internalmemo.aspx, New URL: ~/aspxpages/internalmemo.aspx, File Found: True
Old URL: ~/Pages/EVOL_Memo.aspx, New URL: ~/Pages/EVOL_Memo, File Found: False
Old URL: ~/Pages/ALLMessage.aspx, New URL: ~/aspxpages/ALLMessage.aspx, File Found: True
Old URL: ~/Pages/EVOL_MemoCategory.aspx, New URL: ~/aspxpages/EVOL_MemoCategory.aspx, File Found: True
Old URL: ~/Pages/EVOL_ToDo.aspx, New URL: ~/Pages/EVOL_ToDo, File Found: False
Old URL: ~/Pages/EVOL_ToDoCategory.aspx, New URL: ~/Pages/EVOL_ToDoCategory, File Found: False
Old URL: ~/Pages/EVOL_ToDoPriority.aspx, New URL: ~/Pages/EVOL_ToDoPriority, File Found: False
Old URL: ~/Pages/EVOLMemo.aspx, New URL: ~/Pages/EVOLMemo, File Found: False
Old URL: http://HelpDesk.zaker.co, New URL: http://HelpDesk.zaker.co, File Found: False
Old URL: ~/Pages/MySite.aspx, New URL: ~/aspxpages/MySite.aspx, File Found: True
Old URL: ~/Pages/MYprofile_1.aspx, New URL: ~/Pages/MYprofile_1, File Found: False
Old URL: ~/Pages/MYprofile.aspx, New URL: ~/Pages/MYprofile, File Found: False
Old URL: ~/Pages/newcontent.aspx, New URL: ~/aspxpages/newcontent.aspx, File Found: True
Old URL: ~/Pages/newcontact1001.aspx, New URL: ~/aspxpages/newcontact1001.aspx, File Found: True
Old URL: ~/Pages/ELMAH_Home.aspx, New URL: ~/aspxpages/ELMAH_Home.aspx, File Found: True
Old URL: ~/Pages/TicketAttachments.aspx, New URL: ~/Pages/TicketAttachments, File Found: False
Old URL: ~/Pages/TicketComments.aspx, New URL: ~/aspxpages/TicketComments.aspx, File Found: True
Old URL: ~/Pages/TicketEventNotifications.aspx, New URL: ~/Pages/TicketEventNotifications, File Found: False
Old URL: ~/Pages/Tickets.aspx, New URL: ~/aspxpages/Tickets.aspx, File Found: True
Old URL: ~/Pages/TicketTags.aspx, New URL: ~/Pages/TicketTags, File Found: False
Old URL: ~/Pages/user_details.aspx, New URL: ~/Pages/user_details, File Found: False
Old URL: ~/Pages/Schoolhelp.aspx, New URL: ~/aspxpages/Schoolhelp.aspx, File Found: True
Old URL: ~/Pages/sthelplist.aspx, New URL: ~/aspxpages/sthelplist.aspx, File Found: True
Old URL: ~/Pages/PYCntry.aspx, New URL: ~/Pages/PYCntry, File Found: False
Old URL: ~/Pages/Stcurncy.aspx, New URL: ~/aspxpages/Stcurncy.aspx, File Found: True
Old URL: ~/Pages/PyGender.aspx, New URL: ~/Pages/PyGender, File Found: False
Old URL: ~/Pages/Pymntype.aspx, New URL: ~/Pages/Pymntype, File Found: False
Old URL: ~/Pages/PyState.aspx, New URL: ~/Pages/PyState, File Found: False
Old URL: ~/Pages/PyReljan.aspx, New URL: ~/Pages/PyReljan, File Found: False
Old URL: ~/Pages/PaymentTypes.aspx, New URL: ~/Pages/PaymentTypes, File Found: False
Old URL: ~/Pages/Pyjobs.aspx, New URL: ~/Pages/Pyjobs, File Found: False
Old URL: ~/Pages/forfix.aspx, New URL: ~/aspxpages/forfix.aspx, File Found: True
Old URL: ~/Pages/schAcademicyear.aspx, New URL: ~/Pages/schAcademicyear, File Found: False
Old URL: ~/Pages/schArea.aspx, New URL: ~/Pages/schArea, File Found: False
Old URL: ~/Pages/schBranch.aspx, New URL: ~/Pages/schBranch, File Found: False
Old URL: ~/Pages/schClassConfig.aspx, New URL: ~/Pages/schClassConfig, File Found: False
Old URL: ~/Pages/Schclasskindlist.aspx, New URL: ~/Pages/Schclasskindlist, File Found: False
Old URL: ~/Pages/SchFatherjob.aspx, New URL: ~/Pages/SchFatherjob, File Found: False
Old URL: ~/Pages/schGrade.aspx, New URL: ~/Pages/schGrade, File Found: False
Old URL: ~/Pages/SchMotherjob.aspx, New URL: ~/Pages/SchMotherjob, File Found: False
Old URL: ~/Pages/schpaymenttype.aspx, New URL: ~/Pages/schpaymenttype, File Found: False
Old URL: ~/Pages/schAcademicyear_1.aspx, New URL: ~/Pages/schAcademicyear_1, File Found: False
Old URL: ~/Pages/sthelplist3.aspx, New URL: ~/aspxpages/sthelplist3.aspx, File Found: True
Old URL: ~/Pages/schStage.aspx, New URL: ~/Pages/schStage, File Found: False
Old URL: ~/Pages/schstatus.aspx, New URL: ~/Pages/schstatus, File Found: False
Old URL: ~/Pages/schstclasskinddmg.aspx, New URL: ~/Pages/schstclasskinddmg, File Found: False
Old URL: ~/Pages/schstekat.aspx, New URL: ~/Pages/schstekat, File Found: False
Old URL: ~/Pages/schstekattyplist.aspx, New URL: ~/aspxpages/schstekattyplist.aspx, File Found: True
Old URL: ~/Pages/schstespetialest.aspx, New URL: ~/aspxpages/schstespetialest.aspx, File Found: True
Old URL: ~/Pages/schsthealthcase.aspx, New URL: ~/aspxpages/schsthealthcase.aspx, File Found: True
Old URL: ~/Pages/schstudenttyp.aspx, New URL: ~/aspxpages/schstudenttyp.aspx, File Found: True
Old URL: ~/Pages/Schtransferlist.aspx, New URL: ~/aspxpages/Schtransferlist.aspx, File Found: True
Old URL: ~/Pages/schtyp.aspx, New URL: ~/aspxpages/schtyp.aspx, File Found: True
Old URL: ~/Pages/studentsefa.aspx, New URL: ~/aspxpages/studentsefa.aspx, File Found: True
Old URL: ~/Pages/Pyownrmf.aspx, New URL: ~/Pages/Pyownrmf, File Found: False
Old URL: ~/Pages/Schstudentsefa.aspx, New URL: ~/aspxpages/Schstudentsefa.aspx, File Found: True
Old URL: ~/Pages/schhelpfile4.aspx, New URL: ~/aspxpages/schhelpfile4.aspx, File Found: True
Old URL: ~/Pages/REG_ID_TYPE.aspx, New URL: ~/Pages/REG_ID_TYPE, File Found: False
Old URL: ~/Pages/RequestTypes.aspx, New URL: ~/Pages/RequestTypes, File Found: False
Old URL: ~/Pages/reg_other_schools.aspx, New URL: ~/Pages/reg_other_schools, File Found: False
Old URL: ~/Pages/schtrnstype1.aspx, New URL: ~/aspxpages/schtrnstype1.aspx, File Found: True
Old URL: ~/Pages/GLSubledgertyplist.aspx, New URL: ~/Pages/GLSubledgertyplist, File Found: False
Old URL: ~/Pages/schStudentCard.aspx, New URL: ~/Pages/schStudentCard, File Found: False
Old URL: ~/Pages/SchstudentsefaDis.aspx, New URL: ~/Pages/SchstudentsefaDis, File Found: False
Old URL: ~/Pages/Subscriptionstatuslist.aspx, New URL: ~/aspxpages/Subscriptionstatuslist.aspx, File Found: True
Old URL: ~/Pages/Schfathjob.aspx, New URL: ~/Pages/Schfathjob, File Found: False
Old URL: ~/Pages/Schmothjob.aspx, New URL: ~/Pages/Schmothjob, File Found: False
Old URL: ~/Pages/schsocialstatuscase.aspx, New URL: ~/aspxpages/schsocialstatuscase.aspx, File Found: True
Old URL: ~/Pages/SchRegisterreqdone.aspx, New URL: ~/Pages/SchRegisterreqdone, File Found: False
Old URL: ~/Pages/TechnicalSupport.aspx, New URL: ~/aspxpages/TechnicalSupport.aspx, File Found: True
Old URL: ~/Pages/webmenu.aspx, New URL: ~/aspxpages/webmenu.aspx, File Found: True
Old URL: ~/Pages/MODMaster.aspx, New URL: ~/aspxpages/MODMaster.aspx, File Found: True
Old URL: ~/Pages/MenuMaster.aspx, New URL: ~/aspxpages/MenuMaster.aspx, File Found: True
Old URL: ~/Pages/GroupMaster.aspx, New URL: ~/aspxpages/GroupMaster.aspx, File Found: True
Old URL: ~/Pages/QMenuMaster.aspx, New URL: ~/Pages/QMenuMaster, File Found: False
Old URL: ~/Pages/QModMaster.aspx, New URL: ~/Pages/QModMaster, File Found: False
Old URL: ~/Pages/QGroupMaster.aspx, New URL: ~/Pages/QGroupMaster, File Found: False
Old URL: ~/Pages/SecFormPrvldj.aspx, New URL: ~/Pages/SecFormPrvldj, File Found: False
Old URL: ~/Pages/Seccntrolssecurity.aspx, New URL: ~/Pages/Seccntrolssecurity, File Found: False
Old URL: ~/Pages/WEEKDAYN.aspx, New URL: ~/Pages/WEEKDAYN, File Found: False
Old URL: ~/Pages/Database.aspx, New URL: ~/Pages/Database, File Found: False
Old URL: ~/Pages/GLschassmentBalanceCRf.aspx, New URL: ~/Pages/GLschassmentBalanceCRf, File Found: False
Old URL: ~/Pages/GLschassmentBalanceCRTf.aspx, New URL: ~/Pages/GLschassmentBalanceCRTf, File Found: False
Old URL: ~/Pages/GLschassmentBalancef.aspx, New URL: ~/Pages/GLschassmentBalancef, File Found: False
